WDS,AName,Name,RA,DEC,date,TMP,PA,paerr,Sep,seperr,Dmag,QFLAG,TMP3
00121-5832, RST4739         ,HIP 975     ,   3.0216, -58.5248, 2019.5288 , I  2,    269.6,   0.1,   0.2558,   0.1,     0.0,  ,     -0.1    0.001 SOAR2019
00135-3650, HDS 32          ,HIP 1083    ,   3.3713, -36.8286, 2019.5369 , I  2,    329.0,   0.1,   0.2459,   0.1,     0.7, q,      0.7   -0.002 Tok2017b
00143-2732, HDS 33          ,HIP 1144    ,   3.5842, -27.5311, 2019.5369 , I  2,    306.9,   0.1,   0.1698,   0.1,     0.8, q,      1.0   -0.001 Tok2015c
00153-4230, RST3344         ,HIP 1232    ,   3.8235, -42.4965, 2019.6133 , I  2,      2.9,   0.4,   0.0876,   0.4,     0.7, q,                           
00155-1608, HEI 299         ,HIP 1242    ,   3.8666, -16.1338, 2019.5369 , I  2,    288.1,   0.2,   0.3373,   0.2,     1.6, q,     -2.0    0.008 AST2016 
00155-1608, HEI 299         ,HIP 1242    ,   3.8695, -16.1357, 2019.9495 , I  2,    269.8,   0.1,   0.3950,   0.1,     1.6, q,     -1.9    0.014 AST2016 
00160-4816,HIP 1276        ,HIP 1276    ,   4.0085, -48.2603, 2019.6133 , I  2,     43.1,   0.3,   0.1935,   0.3,     0.4, q,                           
00164-2235, HDS 36 AaAb    ,HIP 1306    ,   4.0977, -22.5879, 2019.5367 , I  2,    193.3,   0.1,   0.1851,   0.1,     1.6,  ,                           
00164-2235, HDS 36 AaC     ,HIP 1306    ,   4.0977, -22.5879, 2019.5367 , I  2,    252.5,   0.0,   1.0639,   0.0,     5.1,  ,                           
00164-7024, HEI 198         ,HIP 1309    ,   4.1016, -70.3924, 2019.6132 , I  2,    188.7,   0.2,   0.0990,   0.2,     0.8, q,      2.8   -0.011 Tok2017b
00174-5131, HDS 40          ,HIP 1393    ,   4.3515, -51.5224, 2019.6133 , I  2,     13.1,   0.1,   0.1484,   0.1,     1.8, q,                           
00189-4905, RST 4           ,HIP 1516    ,   4.7304, -49.0870, 2019.7911 , I  2,      3.4,   0.3,   0.8634,   0.3,     0.6, ast,                           
00203-3246, B 1025          ,HIP 1625    ,   5.0773, -32.7693, 2019.6133 , I  2,    177.5,   0.1,   0.5820,   0.1,     1.4, ast,    178.1   -0.025 Hrt2012a
00212-4743, HDS 46          ,HIP 1693    ,   5.3063, -47.7155, 2019.8567 , I  2,    279.5,   0.3,   0.1589,   0.3,     2.5, q,                           
00247-2653, LEI 1 AB        , LHS 1070    ,   6.1843, -27.1403, 2019.5369 , I  4,     53.6,   0.1,   0.9181,   0.1,     2.2,  ,     82.2    0.004 Koh2012 
00247-2653, LEI 1 AB        , LHS 1070    ,   6.1833, -27.1370, 2019.8568 , I  2,     54.6,   0.0,   0.9238,   0.0,     2.3,  ,     81.3   -0.014 Koh2012 
00247-2653, LEI 1 BC        , LHS 1070    ,   6.1843, -27.1407, 2019.5369 , I  4,    151.7,   0.3,   0.2766,   0.3,     0.4,  ,      3.4    0.005 Tok2018j
00247-2653, LEI 1 BC        , LHS 1070    ,   6.1833, -27.1370, 2019.8568 , I  2,    159.8,   0.4,   0.3124,   0.4,     0.4,  ,      3.3    0.014 Tok2018j
00251-3646, BRG 2           ,             ,   6.2678, -36.7716, 2019.5369 , I  2,    297.0,   1.4,   0.4608,   1.4,     3.1, q,                           
00258+1025, HDS 57          ,HIP 2035    ,   6.4574,  10.4234, 2019.5397 , I  2,     14.2,   0.3,   0.0681,   0.3,     0.9, q,     11.7    0.022 Tok2017b
00261-1123, YR 4            ,HIP 2066    ,   6.5360, -11.3769, 2019.6133 , I  2,    149.1,   0.5,   0.2490,   0.5,     2.6, q,                           
00271-0753, A 431 AB        ,HIP 2143    ,   6.7824,  -7.8760, 2019.6133 , I  2,    288.4,   0.1,   0.1781,   0.1,     0.2, q,     -4.8    0.006 Sca2015a
00271-3634,HIP 2136        ,HIP 2136    ,   6.7720, -36.5665, 2019.5369 , I  2,    185.3,   0.2,   0.1788,   0.2,     0.5, q,                           
00277-1625, YR 1 AaAb      ,HIP 2190    ,   6.9179, -16.4095, 2019.5369 , I  2,    191.9,   0.2,   0.0876,   0.2,     0.2,  ,      1.4    0.002 SOAR2019
00284-2020, B 1909          ,HIP 2237    ,   7.0882, -20.3348, 2019.5369 , y  2,    290.5,   0.0,   0.1879,   0.0,     0.1,  ,      0.2    0.003 Hrt2010a
00286-4820, RST 9           , HD 2513     ,   7.1513, -48.3309, 2019.6133 , I  2,     78.9,   0.1,   0.2940,   0.1,     1.1, q,                           
00304-6236, JNN 296 AaAb   ,             ,   7.6072, -62.6004, 2019.5343 , I  2,    330.6,   1.1,   0.1105,   1.1,     0.3,  ,                           
00310-3138, HDS 69          ,HIP 2433    ,   7.7549, -31.6387, 2019.5369 , I  2,     95.7,   0.1,   0.1124,   0.1,     0.3,  ,                           
00321-0511, A 111 AB        ,HIP 2533    ,   8.0345,  -5.1787, 2019.5397 , I  2,    296.0,   0.2,   0.1677,   0.2,     0.2,  ,     -0.9    0.001 Tok2015c
00321-1218, HDS 71          ,HIP 2532    ,   8.0296, -12.2952, 2019.9523 , I  2,    288.1,   0.1,   0.2753,   0.1,     0.2,  ,      2.4    0.014 Cve2014 
00321-1813, B 1910          ,HIP 2527    ,   8.0195, -18.2219, 2019.5369 , I  2,     29.9,   0.0,   0.1776,   0.0,     0.2,  ,                           
00324+0657, MCA 1 AaAb     ,HIP 2548    ,   8.0990,   6.9554, 2019.5397 , I  2,    295.0,   0.2,   0.1364,   0.2,     1.9, q,     -0.0   -0.005 Jte2018 
00325-6800, DON 7           ,HIP 2556    ,   8.1195, -68.0074, 2019.6132 , I  2,    258.9,   0.7,   0.5378,   0.7,     1.5, q,     -0.2   -0.001 SOAR2019
00334-4044, HDS 74          ,HIP 2631    ,   8.3492, -40.7286, 2019.6133 , I  2,    143.9,   1.8,   0.1169,   1.8,     2.9,  ,                           
00345-0433, D 2 AB          ,HIP 2713    ,   8.6241,  -4.5465, 2019.5397 , I  2,     76.1,   0.1,   0.2619,   0.1,     1.2, q,     -0.1   -0.000 SOAR2019
00348-5853, I 439           ,HIP 2726    ,   8.6978, -58.8854, 2019.5370 , I  2,    154.7,   0.7,   0.0546,   0.7,     0.2,  ,                           
00352-0336, HO 212 AB       ,HIP 2762    ,   8.8147,  -3.5927, 2019.9496 , I  2,    285.6,   0.1,   0.2735,   0.1,     1.2, q,     -0.4    0.001 Msn2005 
00371-5429, RST2249         , CD-55 145   ,   9.2873, -54.4787, 2019.7911 , I  2,    118.0,   0.2,   0.3681,   0.2,     0.4, q,                           
00373-2446, BU 395          , HD 3443     ,   9.3442, -24.7673, 2019.8568 , I  2,    128.9,   0.1,   0.3482,   0.1,     0.4, q,     -0.4   -0.001 Hrt2010a
00382-2216, HDS 89          ,HIP 3003    ,   9.5490, -22.2641, 2019.9523 , I  2,    193.0,   0.9,   0.4702,   0.9,     1.0, q,                           
00406-4831,HIP 3186        ,HIP 3186    ,  10.1377, -48.5092, 2019.7911 , I  2,     15.1,   0.3,   0.0406,   0.3,     0.8,  ,                           
00417-2446, B 10            , HD 3930     ,  10.4272, -24.7594, 2019.5369 , y  2,    150.2,   0.5,   0.0347,   0.5,     0.2,  ,                           
00426-0652, RST4154 AB      , HD 4019     ,  10.6570,  -6.8644, 2019.5397 , I  2,      0.1,   0.2,   0.2463,   0.2,     0.7, q,                           
00428+1249, HDS 93          ,HIP 3361    ,  10.6997,  12.8116, 2019.5397 , I  2,     18.3,   0.3,   0.3152,   0.3,     1.2, q,      0.5    0.006 Cve2017b
00446-1856, HDS 99 AaAb    ,HIP 3493    ,  11.1548, -18.9467, 2019.5369 , I  2,    162.9,   0.6,   0.1125,   0.6,     0.3, q,      1.3    0.000 Hor2017 
00457+0654, A 2002          , HD 4314     ,  11.4358,   6.8996, 2019.5397 , I  2,    101.0,   0.4,   0.1095,   0.4,     0.5,  ,                           
00457-6752,HIP 3579        ,HIP 3579    ,  11.4291, -67.8748, 2019.8567 , I  2,    279.7,   1.4,   0.0847,   1.4,     2.6,  ,                           
00460-3043, HDS 100         ,HIP 3592    ,  11.4887, -30.7093, 2019.5369 , I  2,    240.2,   0.3,   0.0634,   0.3,     0.9, q,                           
00462-2214, RST4155         ,HIP 3606    ,  11.5460, -22.2415, 2019.5369 , I  2,    248.7,   0.0,   0.1546,   0.0,     0.0,  ,     -0.0   -0.000 SOAR2019
00463-0634, HDS 101         ,HIP 3612    ,  11.5671,  -6.5662, 2019.5397 , I  2,      3.8,   0.7,   0.1395,   0.7,     1.2, q,      1.5    0.002 Cve2016c
00465-0131, RST4157         , HD 4424     ,  11.6299,  -1.5087, 2019.5397 , I  2,     76.4,   0.2,   0.1220,   0.2,     0.9, q,                           
00466-0207, A 2601          , HD 4434     ,  11.6586,  -2.1222, 2019.9496 , I  2,    276.7,   0.1,   0.1949,   0.1,     0.8, q,                           
00475+1237, HEI 303 AaAb   ,BD+11 97    ,  11.8788,  12.6096, 2019.5397 , I  2,    156.6,   0.2,   0.3681,   0.2,     0.2,  ,                           
00482-4346, HDS 106         ,HIP 3754    ,  12.0484, -43.7728, 2019.6133 , I  2,    255.9,   0.4,   0.5657,   0.4,     2.4, ast,                           
00501+2529, A 436           ,BD+24 122   ,  12.5134,  25.4751, 2019.8564 , I  2,    262.2,   0.9,   0.1209,   0.9,     0.3,  ,                           
00515-1830, HU 1205         ,HIP 4019    ,  12.8778, -18.5076, 2019.5369 , I  2,    122.1,   0.1,   0.6635,   0.1,     0.3, ast,                           
00518-0810, RST4160 AB      ,HIP 4044    ,  12.9604,  -8.1658, 2019.5398 , I  2,    156.9,   0.9,   0.0423,   0.9,     1.6,  ,                           
00519-4343, I 47            ,HIP 4049    ,  12.9675, -43.7090, 2019.7913 , I  2,     31.3,   0.3,   0.6016,   0.3,     0.6, ast,     -0.7    0.019 Cve2010e
00522-2237, STN 3 AB        ,HIP 4072    ,  13.0534, -22.6172, 2019.5369 , I  2,    241.1,   0.1,   1.9862,   0.1,     0.8, ast,                           
00522-2237, STN 3 AB        ,HIP 4072    ,  13.0534, -22.6172, 2019.6133 , I  2,    241.1,   0.4,   1.9918,   0.4,     0.8, ast,                           
00522-2237, STN 3 AB        ,HIP 4072    ,  13.0530, -22.6179, 2019.7913 , I  2,    240.8,   0.5,   1.9935,   0.5,     0.8, ast,                           
00522-2237, STN 3 AB        ,HIP 4072    ,  13.0530, -22.6180, 2019.8568 , I  2,    240.8,   0.4,   1.9956,   0.4,     0.8, ast,                           
00522-2237, STN 3 AB        ,HIP 4072    ,  13.0522, -22.6187, 2019.9523 , I  2,    240.9,   0.2,   1.9934,   0.2,     0.8, ast,                           
00533+0405, A 2307          ,HIP 4176    ,  13.3313,   4.0863, 2019.5397 , I  2,    306.4,   1.5,   0.0578,   1.5,     1.1,  ,     -0.1    0.005 Tok2015c
00539-1631, RST3348 AaAb   ,BD-17 155   ,  13.4613, -16.5245, 2019.5369 , I  2,    121.3,   0.1,   0.3684,   0.1,     0.5, q,                           
00550-5315, RST 23          , CD-53 185   ,  13.7444, -53.2445, 2019.7911 , I  2,    326.1,   0.3,   0.4208,   0.3,     0.4, q,      0.1   -0.000 SOAR2019
00569-5153, B 1418          ,HIP 4448    ,  14.2308, -51.8756, 2019.6133 , I  2,    317.0,   1.9,   0.0315,   1.9,     0.5,  ,     -1.8    0.004 Tok2019c
00569-5153, B 1418          ,HIP 4448    ,  14.2308, -51.8756, 2019.6133 , y  2,    313.9,   0.5,   0.0286,   0.5,     0.0,  ,     -4.9    0.001 Tok2019c
00574-1247, RST3349         ,BD-13 163   ,  14.3464, -12.7760, 2019.6133 , I  2,    157.6,   0.1,   0.3141,   0.1,     1.1, q,                           
00574-3957, B 1419          ,HIP 4483    ,  14.3602, -39.9471, 2019.7913 , I  2,    217.0,   0.1,   0.3147,   0.1,     0.5, q,                           
00579-6634, I 48            ,HIP 4512    ,  14.4670, -66.5609, 2019.5288 , I  2,     36.3,   0.8,   0.3394,   0.8,     1.6, q,                           
00593-0040, A 1902          ,HIP 4619    ,  14.8353,  -0.6745, 2019.5397 , I  2,    220.4,   0.5,   0.3602,   0.5,     1.1, q,      0.9    0.004 Doc2014a
00596-0111, A 1903 AB       ,HIP 4641    ,  14.8961,  -1.1909, 2019.8568 , I  2,     34.6,   0.1,   0.4027,   0.1,     0.7, q,      1.3   -0.003 Hrt2010a
01003-4545, B 648           , CD-46 280   ,  15.0646, -45.7459, 2019.7913 , I  2,      4.8,   0.1,   0.1806,   0.1,     0.4, q,                           
01024+0504, HDS 135 AB      ,HIP 4849    ,  15.6035,   5.0623, 2019.9523 , I  2,     60.4,   0.2,   0.7114,   0.2,     1.4, q,     -0.2    0.006 Tok2015c
01028+0214, A 2308          ,HIP 4886    ,  15.6886,   2.2278, 2019.9523 , I  2,    305.9,   0.3,   0.3982,   0.3,     0.7, q,    183.6   -0.007 Tok2015c
01029-5455, RST 24          , HD 6281     ,  15.7221, -54.9160, 2019.7911 , I  2,    117.4,   0.5,   0.8771,   0.5,     1.8, ast,                           
01034-4718, RST 25          , CD-47 316   ,  15.8450, -47.2981, 2019.7913 , I  2,    313.9,   0.4,   0.2738,   0.4,     0.7, q,                           
01036-4415, B 1421          ,HIP 4959    ,  15.8973, -44.2418, 2019.7913 , I  2,    328.0,   0.1,   0.1888,   0.1,     0.0,  ,                           
01043-5741, SUB 1 AaAb     ,HIP 5018    ,  16.0753, -57.6860, 2019.5344 , I  2,     99.9,   0.1,   0.2214,   0.1,     0.7, q,                           
01065-2003, B 1028          , HD 6593     ,  16.6213, -20.0580, 2019.6133 , I  2,     19.7,   0.1,   0.1010,   0.1,     0.4,  ,                           
01071-0036, BAG 12 AC       ,HIP 5245    ,  16.7688,  -0.5920, 2019.5397 , I  2,    146.8,   0.9,   1.4239,   0.9,     4.4,  ,                           
01071-0036, HDS 144 AB      ,HIP 5245    ,  16.7688,  -0.5920, 2019.5397 , I  2,    122.1,   0.4,   0.3779,   0.4,     1.8,  ,     -3.1    0.009 Tok2014a
01077-1557, HDS 148         ,HIP 5295    ,  16.9372, -15.9496, 2019.6133 , I  2,     16.3,   0.9,   0.0362,   0.9,     0.0, :,                           
01077-1557, HDS 148         ,HIP 5295    ,  16.9382, -15.9497, 2019.8568 , I  2,     16.8,   0.3,   0.0474,   0.3,     0.3,  ,                           
01084+1052, LSC 13          ,HIP 5350    ,  17.1013,  10.8583, 2019.9521 , I  2,     16.0,   0.6,   0.2037,   0.6,     2.5, q,                           
01084-5515, RST1205 AB      ,HIP 5348    ,  17.0962, -55.2458, 2019.5344 , y  2,    124.5,   0.1,   0.5780,   0.1,     2.9, q,     -0.2    0.002 Lin2019a
01084-5515, RST1205 AB      ,HIP 5348    ,  17.0962, -55.2458, 2019.7911 , I  3,    124.9,   0.7,   0.5777,   0.7,     2.7, q,     -0.2    0.000 Lin2019a
01084-5515, RST1205 AB      ,HIP 5348    ,  17.0963, -55.2457, 2019.9468 , I  2,    125.1,   0.1,   0.5788,   0.1,     2.4, ast,     -0.2    0.001 Lin2019a
01094-5636, HU 1342         ,HIP 5428    ,  17.3420, -56.5951, 2019.5344 , y  2,    319.4,   0.2,   0.3258,   0.2,     0.5, q,      0.7    0.007 Hrt2010a
01104-6727, GKI 3           ,HIP 5496    ,  17.5954, -67.4449, 2019.6132 , I  2,    260.4,   0.2,   0.1401,   0.2,     0.8, q,     -2.1   -0.000 AST2016 
01104-6727, GKI 3           ,HIP 5496    ,  17.5996, -67.4418, 2019.7911 , I  2,    226.7,   0.4,   0.1052,   0.4,     0.8, q,     -3.5   -0.005 AST2016 
01106-6555, HDS 154 AaAb   ,HIP 5514    ,  17.6497, -65.9216, 2019.9468 , I  2,    296.5,   0.3,   0.7262,   0.3,     1.8, ast,                           
01117+0835, HDS 158         ,HIP 5593    ,  17.9310,   8.5800, 2019.5399 , I  2,    148.0,   0.7,   0.1472,   0.7,     1.7, q,                           
01155-4549, RST2259 AB      , HD 7632     ,  18.8808, -45.8296, 2019.7913 , I  2,    121.3,   0.1,   0.2088,   0.1,     1.3, q,                           
01161-4650, HDS 166         ,HIP 5917    ,  19.0306, -46.8361, 2019.7913 , I  2,     12.1,   0.7,   0.3028,   0.7,     3.7,  ,                           
01180-4809,HIP 6075        ,HIP 6075    ,  19.4966, -48.1506, 2019.5370 , I  2,     75.0,   0.9,   0.3231,   0.9,     1.5, q,                           
01180-4809,HIP 6075        ,HIP 6075    ,  19.4966, -48.1506, 2019.8567 , I  2,     76.0,   0.1,   0.3229,   0.1,     1.5, q,                           
01187-2630, SEE 11 ABa     ,HIP 6136    ,  19.6844, -26.5018, 2019.5369 , I  2,    299.6,   0.2,   1.4623,   0.2,     0.5,  ,                           
01187-2630, TOK 182 BaBb   ,HIP 6136    ,  19.6839, -26.5024, 2019.5369 , I  2,    221.3,   0.4,   0.4296,   0.4,     3.8,  ,                           
01196-0520, A 313           ,HIP 6211    ,  19.9052,  -5.3246, 2019.8568 , I  2,    265.8,   0.3,   0.1678,   0.3,     0.7, q,     -2.1    0.007 Tok2015c
01197+1209, CHR 196         ,HIP 6216    ,  19.9285,  12.1458, 2019.9521 , I  2,    269.6,   1.3,   0.0353,   1.3,     0.2, :,      0.0    0.006 Tok2018i
01198-0031, FIN 337 BC      ,HIP 6226    ,  19.9514,  -0.5086, 2019.5397 , y  2,    329.4,   1.3,   0.0930,   1.3,     1.2, q,    172.1    0.003 Msn2010c
01198-0031, STF 113 AB      ,HIP 6226    ,  19.9512,  -0.5090, 2019.5397 , y  2,     21.9,   0.0,   1.6106,   0.0,     2.5, q,      0.5   -0.030 Zir2015a
01205-1957, TOK 203         ,HIP 6273    ,  20.1252, -19.9490, 2019.6133 , I  2,    136.7,   0.6,   0.2334,   0.6,     3.8,  ,      8.2   -0.021 Tok2019c
01219-4440, B 1424          , HD 8340     ,  20.4697, -44.6599, 2019.7913 , I  2,    189.7,   0.1,   0.1448,   0.1,     0.0,  ,                           
01222+2209, CRC 44          , G 34-23     ,  20.5444,  22.1500, 2019.9521 , I  2,     18.4,   0.6,   0.1049,   0.6,     0.0, :,                           
01234-1017, RST4745         ,BD-11 258   ,  20.8551, -10.2861, 2019.5398 , I  2,    156.6,   0.2,   0.0613,   0.2,     0.1,  ,                           
01238+0630, HDS 180         ,HIP 6521    ,  20.9451,   6.4986, 2019.9523 , I  2,    184.0,   0.3,   0.1184,   0.3,     1.4, q,                           
01243-0655, BU 1163         ,HIP 6564    ,  21.0853,  -6.9147, 2019.5398 , I  2,    204.2,   0.1,   0.1920,   0.1,     0.4, q,      0.0    0.005 Sod1999 
01250-3251, HDS 184         ,HIP 6626    ,  21.2575, -32.8511, 2019.5370 , I  2,     59.8,   0.3,   0.0515,   0.3,     0.1,  ,      2.4    0.003 Tok2019c
01260+1315, HEI 305 AaAb   ,HIP 6694    ,  21.4887,  13.2479, 2019.9521 , I  2,    337.1,   0.3,   0.5111,   0.3,     0.4,  ,                           
01262-6751, DON 17          ,HIP 6703    ,  21.5394, -67.8425, 2019.5288 , I  3,    290.5,   1.1,   1.4031,   1.1,     1.0, ast,      0.6   -0.019 Hrt2010a
01262-6751, DON 17          ,HIP 6703    ,  21.5394, -67.8425, 2019.6132 , I  2,    290.8,   0.1,   1.4067,   0.1,     1.0, ast,      0.8   -0.017 Hrt2010a
01262-6751, DON 17          ,HIP 6703    ,  21.5405, -67.8427, 2019.7911 , I  2,    290.6,   0.5,   1.4102,   0.5,     1.3, ast,      0.6   -0.016 Hrt2010a
01262-6751, DON 17          ,HIP 6703    ,  21.5407, -67.8426, 2019.8567 , I  2,    290.7,   0.4,   1.4145,   0.4,     1.0, ast,      0.6   -0.013 Hrt2010a
01262-6751, DON 17          ,HIP 6703    ,  21.5402, -67.8427, 2019.9468 , I  2,    290.6,   0.2,   1.4143,   0.2,     1.0, ast,      0.6   -0.014 Hrt2010a
01263-0440, TOK 204 AaAb   ,HIP 6712    ,  21.5800,  -4.6741, 2019.5398 , I  2,     53.8,   0.2,   0.0927,   0.2,     1.2,  ,      2.2   -0.002 Tok2018i
01263-0440, TOK 204 AaAb   ,HIP 6712    ,  21.5790,  -4.6747, 2019.9496 , I  2,     68.0,   0.1,   0.0841,   0.1,     1.3,  ,      3.2   -0.002 Tok2018i
01308-5940, TOK 183         ,HIP 7040    ,  22.6924, -59.6594, 2019.5344 , y  2,      3.3,   0.6,   0.0303,   0.6,     0.0,  ,      5.1    0.000 SOAR2019
01308-5940, TOK 183         ,HIP 7040    ,  22.6930, -59.6594, 2019.8568 , y  3,    356.3,   0.2,   0.0404,   0.2,     0.0,  ,      1.6    0.001 SOAR2019
01312-0702, HDS 198         ,HIP 7075    ,  22.7946,  -7.0328, 2019.5398 , I  2,    144.2,   0.8,   0.0717,   0.8,     2.2, :,      2.5    0.000 Tok2018i
01334-4354, HDS 205         ,HIP 7254    ,  23.3605, -43.9014, 2019.5370 , I  2,     27.9,   0.6,   0.0913,   0.6,     0.8, q,     -0.3    0.001 Tok2017b
01334-4354, HDS 205         ,HIP 7254    ,  23.3628, -43.9006, 2019.7911 , I  2,     37.0,   0.1,   0.0925,   0.1,     0.9,  ,      0.1    0.001 Tok2017b
01339-4421, HDS 208         ,HIP 7286    ,  23.4682, -44.3482, 2019.7911 , I  2,    151.1,   1.1,   0.4851,   1.1,     3.3, q,                           
01346-1552, RST3357         ,BD-16 264   ,  23.6530, -15.8669, 2019.6134 , I  3,      9.7,   0.2,   0.8931,   0.2,     1.2, ast,                           
01350-2955, BU 1000 AC      ,HIP 7372    ,  23.7540, -29.9106, 2019.5370 , I  2,     10.5,   0.0,   1.5739,   0.0,     3.0,  ,      5.5   -0.090 Hrt2010a
01350-2955, DAW 31 AB       ,HIP 7372    ,  23.7540, -29.9106, 2019.5370 , I  2,    153.6,   0.0,   0.1255,   0.0,     0.5,  ,      3.9    0.006 Tok2015c
01353-2112, LSC 14          ,HIP 7396    ,  23.8374, -21.2011, 2019.6133 , I  2,    306.2,   0.3,   0.2398,   0.3,     2.7, q,                           
01355-1648, HU 419          ,HIP 7407    ,  23.8646, -16.7929, 2019.6133 , I  2,     49.0,   0.1,   0.1216,   0.1,     0.3,  ,                           
01361-2954, HJ 3447         ,HIP 7463    ,  24.0354, -29.9074, 2019.5370 , I  2,    197.9,   0.1,   0.8214,   0.1,     1.3, ast,     -2.7   -0.046 Cve2006e
01376-0223, RST4181 AB      ,BD-03 230   ,  24.3897,  -2.3839, 2019.5399 , I  2,    143.6,   0.4,   0.7756,   0.4,     2.2,  ,                           
01376-0223, RST4181 AB      ,BD-03 230   ,  24.3901,  -2.3842, 2019.9496 , I  2,    143.6,   0.7,   0.7759,   0.7,     2.1,  ,                           
01376-0223, RST4181 BC      ,BD-03 230   ,  24.3897,  -2.3839, 2019.5399 , I  2,    185.9,   0.1,   0.1520,   0.1,     0.1,  ,                           
01376-0223, RST4181 BC      ,BD-03 230   ,  24.3901,  -2.3842, 2019.9496 , I  2,    186.0,   0.3,   0.1557,   0.3,    -0.0,  ,                           
01376-0924, KUI 7           ,HIP 7580    ,  24.4071,  -9.4038, 2019.6134 , I  2,    162.6,   0.4,   0.1076,   0.4,     1.0, q,     -2.7    0.007 Tok1993 
01379-8259, TOK 426         ,HIP 7601    ,  24.4791, -82.9753, 2019.6132 , y  2,    354.5,   0.0,   0.0530,   0.0,     0.7,  ,      0.5   -0.001 Tok2016c
01379-8259, TOK 426         ,HIP 7601    ,  24.4844, -82.9746, 2019.9469 , I  2,    102.7,   0.3,   0.0635,   0.3,     1.0,  ,      0.4    0.002 Tok2016c
01388-1758, LDS 838         , GJ 65B      ,  24.7564, -17.9505, 2019.6133 , I  2,    350.2,   0.4,   2.1165,   0.4,     0.2, ast,      1.1    0.011 Krv2016 
01391-0048, A 1915          , HD 10136    ,  24.7711,  -0.8018, 2019.5399 , I  2,    270.2,   0.2,   0.6219,   0.2,     1.2, q,                           
01414-7909, HDS 223 AaAb   ,HIP 7879    ,  25.3387, -79.1483, 2019.6132 , I  2,    118.1,   0.5,   0.1453,   0.5,     2.6, q,                           
01417-1119, STF 147         ,HIP 7916    ,  25.4368, -11.3247, 2019.5398 , I  2,    297.7,   0.4,   0.1019,   0.4,     1.0, q,     -0.3   -0.002 Tok2019h
01417-1119, STF 147         ,HIP 7916    ,  25.4369, -11.3269, 2019.9496 , I  2,    306.9,   0.2,   0.0871,   0.2,     0.9, q,      0.1   -0.001 Tok2019h
01433-0152, SKF 116         ,             ,  25.8250,  -1.8574, 2019.7913 , I  2,     21.7,   4.5,   4.9170,   4.5,     0.1, :,                           
01466-0839, JOD 3           , G 271-149   ,  26.6534,  -8.6494, 2019.5398 , I  2,      6.3,   0.4,   0.2145,   0.4,     0.9, q,                           
01490-1746, LSC 16          ,HIP 8455    ,  27.2557, -17.7651, 2019.6134 , I  2,    234.7,   0.1,   0.1287,   0.1,     1.2, q,                           
01496-4646, TOK 184         ,HIP 8498    ,  27.3981, -46.7687, 2019.5370 , I  2,    304.8,   0.6,   0.3243,   0.6,     3.9,  ,                           
01497-1022, BU 1168         ,HIP 8509    ,  27.4309, -10.3741, 2019.5398 , I  2,    209.9,   0.1,   0.2740,   0.1,     0.3, q,                           
01497-4236, HDS 244         ,HIP 8511    ,  27.4366, -42.5973, 2019.5370 , I  2,    326.2,   1.0,   0.1385,   1.0,     1.8, q,                           
01503-8714, HDS 247         ,HIP 8550    ,  27.5702, -87.2284, 2019.6132 , I  2,     83.2,   0.2,   0.1555,   0.2,     0.3,  ,                           
01557-4351, I 452           ,HIP 8975    ,  28.9228, -43.8509, 2019.7911 , I  2,    322.2,   0.1,   0.3130,   0.1,     0.7, q,                           
